mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,contrast_1_mean,contrast_2_mean,contrast_3_mean,contrast_4_mean,contrast_5_mean,contrast_6_mean,contrast_7_mean,spec_centroid_mean,spec_bandwidth_mean,spec_rolloff_mean,zcr_mean,rms_mean,tempo,genre
-119.01804,49.944424,125.08035,16.189907,-23.394335,19.115284,41.32173,13.4875145,-5.931896,12.3480835,20.09275,8.681817,-16.03152,6.3299284,17.811024,9.211067,-14.643774,9.128919,10.218312,9.801148,-9.701552,8.160587,10.16898,6.7273254,-4.672668,5.8515134,8.364333,6.88839,-7.225304,6.547814,0.42437297,0.43064335,0.47234756,0.24628578,0.30766672,0.2940864,0.2711267,0.30057278,0.25003764,0.33706853,0.34789795,0.34455544,16.226658180055917,16.256485705179042,18.839603388004072,19.309669055497313,19.0516716077987,16.985503766244452,39.25417179655885,1773.358004144261,1972.3342580282888,3714.063439002404,0.08185096153846154,0.1301892,129.19921875,blues
-125.97715,45.241447,122.3742,14.780329,-20.679749,15.271171,50.03504,11.995065,-11.2506895,11.821546,21.386396,8.79832,-15.864703,9.868228,19.41863,7.6044745,-12.440534,8.24462,17.862537,7.483675,-11.664177,7.384617,8.132216,6.3906727,-7.7003174,5.5241494,8.368317,7.0066295,-8.258325,8.302733,0.283348,0.32074985,0.39458355,0.2367714,0.2539745,0.38269833,0.4834599,0.4999776,0.29481348,0.2620017,0.33958632,0.3703139,16.370835335708847,14.272400892692346,18.286222628742646,18.80834876025248,19.685313684642495,17.827386135124275,38.493021251604816,1817.2440336954328,2010.7514935628776,3870.510441706731,0.08717322716346154,0.11211886,123.046875,blues
-132.61815,61.601986,114.81552,15.709209,-14.718568,13.891207,50.017944,12.392982,-0.42487794,11.081537,24.517357,8.441723,-13.401937,9.591175,15.444255,7.3962445,-13.006782,10.917308,10.309508,6.104576,-7.841253,6.8009996,11.8116455,6.065147,-4.5547194,6.634369,6.4465866,5.2781343,-2.351675,7.088572,0.4376783,0.44262865,0.45176527,0.2661581,0.22746603,0.20262481,0.22746244,0.37929994,0.3147052,0.35941043,0.49462485,0.36913264,16.321792557899844,14.345530037223972,19.566714899878463,17.921931916875288,19.254118584444885,16.93648624379387,38.66125795454521,1790.7223576695699,2088.184749958743,4000.206580528846,0.07138296274038461,0.13089524,123.046875,blues
-118.325325,50.058475,131.58717,17.984241,-18.493637,10.475515,39.478863,13.966426,-12.992121,11.854437,20.173027,11.646826,-14.325366,8.436829,18.541624,8.823997,-13.470632,8.439502,12.837084,6.528802,-12.472594,7.785524,10.225342,6.355156,-4.305391,7.9175196,8.940404,5.9663754,-9.834754,6.7461925,0.38133913,0.38694105,0.41360068,0.24337552,0.32006022,0.46055672,0.36226043,0.38952625,0.27690512,0.2861628,0.42376634,0.42185616,16.583628590017515,15.283849281672145,17.845061791455162,18.1339677633075,18.75131368792016,16.959579493025903,38.54004663763828,1660.5452307626717,1967.9205817649454,3579.149639423077,0.06942608173076924,0.13134935,123.046875,blues
-106.18211,46.093063,134.27596,14.477101,-19.761965,13.183635,39.920498,10.551027,-14.074065,9.995865,18.501814,9.332476,-15.40016,6.967405,19.148363,7.3826313,-17.971155,9.913984,14.170513,7.7331886,-5.7721343,7.2715993,16.828094,6.971505,-5.6385713,6.7364125,5.6943846,4.9812107,-7.958975,6.3614416,0.23835044,0.29417026,0.47052392,0.25487143,0.24332353,0.3419468,0.32787305,0.443653,0.27551666,0.27479616,0.4954653,0.365276,16.244039331437456,15.349721162496204,18.29394238499021,18.461517599108603,17.18510193375904,16.930118539998617,39.539419645968835,1634.4650759291028,1954.6335660386983,3480.096905048077,0.07010216346153846,0.14237021,123.046875,blues
-101.128334,43.511967,111.414185,20.538069,-13.551289,9.525111,47.09595,10.373398,-12.244085,10.654642,19.657393,11.596198,-13.511521,6.824032,15.266536,7.897449,-12.353834,6.8649344,12.266332,7.425526,-10.326734,6.455737,9.364186,5.541733,-3.402925,6.236222,6.6294255,5.540397,-6.9848127,4.633511,0.3537493,0.31485537,0.44153214,0.25523564,0.30390525,0.35429907,0.38122082,0.5229555,0.4023008,0.3638509,0.4004889,0.3970518,15.19770238384004,15.224545785538883,18.287770695623372,16.8324739747008,17.454707757242247,16.42478632759954,40.03950820088058,1996.0176506059315,2154.3785169412786,4373.973294771635,0.09242037259615385,0.13146591,129.19921875,blues
-102.14361,55.09306,117.07518,17.86628,-20.8095,15.550464,42.741814,12.444408,-9.854761,11.13537,22.878763,6.928636,-16.27334,7.9720135,18.460712,7.814535,-16.078514,8.968907,15.27457,6.2699723,-10.369644,8.983472,11.518101,6.7710667,-7.951739,6.441366,7.3770285,6.9398155,-5.7073145,5.268384,0.31758675,0.39413792,0.47731704,0.250404,0.19043595,0.32216963,0.4101691,0.52164555,0.39082983,0.43288597,0.51316774,0.35071963,15.656171494137572,14.191526107474028,18.06618306768638,16.3371869466097,17.502803762278102,16.669054594161082,40.57294498533396,1962.1393851867554,2146.576085202483,4324.778207632212,0.0895733173076923,0.12951674,123.046875,blues
-109.28777,44.59126,127.4741,9.949735,-19.941677,15.073974,38.59245,10.8461895,-12.507809,13.955248,17.563839,9.917916,-16.2724,8.283737,16.533377,10.293371,-17.296988,9.012729,11.553486,6.639966,-9.056644,7.124005,11.477715,7.252933,-4.235405,6.221163,7.414589,5.7840047,-4.9288564,6.829859,0.42404974,0.37503278,0.3887074,0.24735956,0.23048383,0.29873446,0.39265865,0.47385848,0.24779087,0.2421558,0.33277822,0.33848834,16.04328566464075,15.260284767754394,18.397240000746926,18.390730423957965,18.340493641518474,17.31216107153845,39.160295109684434,1703.3712331138165,1984.0458950313682,3627.4337064302886,0.07093599759615385,0.1397066,123.046875,blues
-113.394844,44.13841,128.62973,18.040459,-30.97069,18.485218,42.671093,10.867526,-5.6582646,13.484037,19.641369,9.714009,-18.127089,8.121761,17.9268,9.7127,-12.894988,8.10685,13.527609,9.358088,-10.30708,7.338331,8.07028,5.8974996,-7.081854,6.1098256,5.843057,6.9405003,-9.761064,7.7650766,0.39810163,0.38222763,0.43971115,0.23752782,0.25532216,0.42165977,0.40470567,0.40445986,0.27599576,0.3692431,0.2936449,0.29891163,15.302131352733694,15.760023997164899,18.0425346064204,19.38715500100376,19.99879228643908,17.28446459177044,38.465354847049234,1749.640820778112,1894.017385511205,3592.5664813701924,0.08766902043269231,0.13226987,123.046875,blues
-125.59409,55.086327,126.387215,13.567608,-32.067448,12.749861,53.246815,8.189195,-1.4587224,11.523738,23.307331,7.883342,-19.76749,6.410206,15.20859,7.040694,-13.45326,6.6816864,11.209064,9.185081,-14.913755,7.8485084,9.17604,8.317089,-4.4395356,5.2496758,9.617393,6.5298223,-4.2770104,7.0905848,0.40136278,0.34893653,0.4877943,0.29083675,0.16437897,0.2738909,0.39439434,0.42789164,0.27967575,0.22126453,0.38542548,0.64284045,15.864425887392791,14.28739937657045,18.582873979852607,19.30596994915686,21.767564413813727,18.024495178185095,37.91882110674792,1767.4908015454273,1879.7824963221415,3512.810809795673,0.10177659254807692,0.11440618,123.046875,blues
-266.53107,123.49077,116.67671,20.49852,17.117645,22.83454,45.663406,13.839989,15.807183,13.204447,24.914494,9.592853,-1.1644386,19.254913,23.793524,9.035958,-1.4512693,14.940453,11.245294,8.131823,0.5515252,7.9935966,9.92649,6.598008,0.81666106,6.818702,5.2523727,6.6949096,-3.0055735,5.422842,0.74688387,0.5365759,0.36344346,0.25997755,0.23085082,0.27346268,0.30843306,0.39568698,0.36727193,0.33665803,0.42295682,0.57912654,16.323228623704942,15.919280234483645,16.729647888232375,16.7372228579146,16.12289513618688,15.75102339499012,34.49474977323431,1280.783900790562,1921.7466622114312,2894.393780048077,0.03956580528846154,0.09246995,103.359375,blues
-202.14558,71.456375,128.56398,19.363806,9.200203,27.15423,36.04025,14.180876,-8.335864,12.836564,20.41953,11.614552,-14.087521,14.261924,30.190586,10.47269,-14.848853,11.434686,11.323791,13.128855,-7.3705444,9.552448,12.745098,9.191757,-1.908922,10.165791,13.345234,7.043086,-2.5753808,7.415005,0.4919511,0.3703305,0.31226307,0.17885043,0.19319583,0.28992814,0.42236817,0.52062213,0.34605736,0.27263728,0.3135232,0.44266236,16.385132742140076,17.196307746061645,19.201292796768236,19.41328908641156,16.960596861614462,16.900870373381384,37.55584940556512,1517.4623714462116,2097.8396345573206,3483.2440655048076,0.04999248798076923,0.09397031,67.99958881578948,blues
-197.23317,70.230896,150.33276,19.399729,-32.0591,29.739902,44.978706,13.347379,9.588902,12.736279,10.970157,13.746047,-7.208317,10.120826,20.680897,9.206438,-4.2792,9.549134,11.601729,8.5369005,-5.0150886,7.820825,1.9568104,8.942398,-6.922445,6.036398,0.26809746,7.370478,-10.299161,8.133251,0.46000028,0.27780828,0.44676706,0.15372303,0.15106519,0.356908,0.45128003,0.6447361,0.29999077,0.3015216,0.2300435,0.2810434,14.667714807081582,17.313525050081548,20.101379620979504,21.981826628686207,22.453977151217693,20.740825093045512,33.109928685045006,1313.8724289126842,1517.7174229178004,2560.5463115985576,0.07730243389423076,0.097317606,107.666015625,blues
-228.43953,97.577644,135.80325,31.662243,0.4882655,21.023792,32.309437,16.627075,4.1648192,12.52415,29.942942,10.85146,-10.361608,13.470322,19.184011,13.02317,-11.121745,12.580489,12.923996,9.657512,-5.0954137,7.702136,8.275436,9.8704195,-6.676665,6.3804183,0.55025995,7.7984114,-5.6867523,6.3293114,0.46599764,0.25724792,0.25822237,0.1589558,0.13226286,0.20336808,0.36797443,0.8172778,0.51687706,0.2284912,0.23908022,0.32755738,16.11958111294209,18.841143820635498,19.540977535361826,19.499492273234907,18.296085291642186,16.178382387067373,35.12282480768101,1482.6529952738265,1912.78476617212,3232.879169170673,0.055885667067307694,0.08516866,112.34714673913044,blues
-205.73892,82.36636,123.60128,21.426193,2.4678063,13.308513,32.60523,18.728626,-4.52634,12.308435,26.622765,11.544372,-18.444235,17.314775,27.31236,12.798072,-15.583834,13.071345,16.855022,9.178761,1.1294934,10.908588,16.576632,8.559509,-3.7017162,8.82082,3.7751615,6.406273,-9.003139,7.658073,0.2188487,0.29052323,0.315916,0.22498691,0.26599026,0.47670728,0.5930601,0.6145694,0.40403694,0.28943592,0.29408956,0.23287824,15.819819766235598,15.915183553052985,19.810552525319228,18.39581770176895,18.067151793971195,18.04755300794784,37.560251994543435,1731.3952796598264,2152.7477487430783,4102.240835336538,0.06530198317307692,0.08781326,161.4990234375,blues
-224.07617,74.60132,123.816284,22.825481,21.10332,10.889852,40.336697,14.902999,-2.5244925,18.454123,28.11982,11.384109,-11.519877,9.057761,26.633541,9.373865,-15.26348,10.601681,15.059729,10.429596,-15.305635,10.34183,5.918176,9.514775,-1.4787431,7.506119,4.7371,6.7119007,-8.874643,8.054965,0.30029976,0.3043319,0.3167082,0.27423298,0.23504736,0.37682354,0.45489636,0.6067077,0.46152562,0.22321637,0.18453522,0.21379156,16.920291894457325,16.64259152693018,18.74366042613806,18.14863849060971,17.310743902147596,17.224753991837126,38.00704346396042,1494.575167693991,2192.000818116939,3689.71435546875,0.03781174879807692,0.09258585,184.5703125,blues
-220.09703,84.06517,122.35996,19.314411,14.6028185,17.560734,43.141724,17.434492,2.6771927,16.270363,25.410223,12.524467,-12.610726,12.796821,24.308119,9.662978,-14.719823,11.628974,18.411385,10.473718,-13.139498,7.7207074,4.701149,7.678184,-1.722283,8.495266,7.204242,6.031348,-8.129556,6.82775,0.3915085,0.30607215,0.28040683,0.2756268,0.34693116,0.4627317,0.42122915,0.5429789,0.4036236,0.22139609,0.20454594,0.2651816,15.859316649089816,15.866825213353831,18.514675426559826,17.672014381915044,18.19807553627201,18.070788766939074,37.62269296890154,1573.1729332034652,2186.3589415521665,3840.529597355769,0.05181039663461538,0.08947128,107.666015625,blues
-170.26183,68.785286,113.99045,25.155834,14.703892,17.238668,32.571224,11.986979,-8.03314,14.854837,25.66095,9.9866495,-13.752133,11.31447,26.655703,12.634508,-16.42555,11.11798,17.741957,9.479646,-10.850667,9.193969,3.8336349,9.065769,-4.306189,8.235408,7.0590925,9.09952,-7.1900635,6.2483077,0.39949894,0.38233075,0.38523543,0.24863434,0.25998977,0.33349863,0.40447497,0.47195208,0.30250314,0.20288114,0.24455906,0.3080908,15.50671115902839,16.626546765919446,18.496439424458192,19.486095216429565,17.498480420256243,17.0710326637699,39.90123149299004,1884.0382117221823,2335.415698930751,4540.027418870192,0.07060171274038461,0.109821714,69.83741554054055,blues
-165.95361,55.084072,123.84604,19.74839,5.651572,14.017633,41.729267,20.1113,-8.9217415,13.885666,22.210302,9.825404,-15.815079,9.500642,32.915653,8.264402,-18.098228,10.588041,13.618321,8.749009,-12.472373,9.464404,3.0863104,10.260789,-5.41268,7.9494534,7.7614717,8.021957,-8.144817,6.8064194,0.41686344,0.22784303,0.18902133,0.1185241,0.16731417,0.4348739,0.38673684,0.51749825,0.3199603,0.30022115,0.47251722,0.40819928,16.482209262215058,17.640413878039084,21.518214154904385,20.609933903368926,19.04645828732285,18.430528477553445,40.06863097605391,1669.6777415329318,2174.0909260977232,3982.648737980769,0.05913461538461538,0.110379286,103.359375,blues
-218.1175,100.27164,133.39066,20.997232,5.1199455,13.106388,37.58229,11.419435,0.55897325,15.829262,26.088762,10.489817,-5.215982,10.613477,24.497036,14.5175705,-10.00912,11.473626,9.531547,8.340486,-5.75367,8.117422,2.9941933,7.516185,-5.80169,6.8628483,4.7141523,12.399504,-8.039096,6.4535747,0.6703794,0.464071,0.26863775,0.11116103,0.101097286,0.17914242,0.26851913,0.45028254,0.24269405,0.1758289,0.24359041,0.35692507,15.311506215871955,17.55800715242349,18.26585239749698,19.49867976897381,18.33579882854059,16.433320318502126,35.674607782609925,1378.0660447872626,1935.8164157058022,3199.751164362981,0.047119140625,0.09439046,66.25600961538461,blues
-114.70075,56.629135,129.31041,33.275726,-25.68705,18.661472,34.934654,14.7375965,-17.62577,17.663021,27.660404,11.222545,-16.622725,13.323862,4.9843035,14.223078,-13.170805,8.447086,5.4134426,10.500944,-17.335546,8.104707,1.8933556,7.8424563,-8.801988,6.7441444,-3.9905324,7.635938,-9.495915,5.4642234,0.33372048,0.18033637,0.2827967,0.45271707,0.588783,0.43868637,0.27938637,0.2655574,0.32812014,0.3876284,0.36898828,0.54028517,25.997703107623177,14.987950330785758,18.601292958213037,18.47330644039443,19.780578230805887,17.986851408513807,38.02557852634563,1677.6989226693167,1795.7433605027672,3300.7915790264424,0.07798602764423077,0.15081692,161.4990234375,blues
-105.128044,52.734478,153.00507,13.452662,-22.927998,18.858511,35.25431,11.946636,-17.695719,11.981888,24.908382,7.462261,-9.744454,9.159484,15.666275,7.8844295,-10.367274,9.085756,7.986926,6.4171724,-11.890582,6.988585,7.510889,7.0548506,-8.255494,7.229853,-1.1292902,7.9737263,-9.4328985,6.693691,0.37609938,0.22647068,0.29208767,0.44182223,0.6445018,0.43868327,0.30828118,0.30429417,0.345006,0.3176393,0.34344742,0.5662666,26.680601059884296,13.553305951258665,18.112736115116036,19.363402471626614,19.192033351929087,18.025162816834975,37.13350640388785,1338.988513397113,1661.1541102143797,2666.141826923077,0.05928485576923077,0.16630329,161.4990234375,blues
-83.25113,49.969112,142.12819,19.611147,-30.3034,17.916283,35.717113,10.821552,-20.404427,11.781717,29.213446,8.321863,-16.108995,10.875422,12.687151,9.849016,-13.43153,7.782737,10.879906,6.951679,-13.157647,5.889148,5.04434,5.738016,-9.0982485,7.7341514,1.1635945,6.3145013,-6.6485443,6.1876483,0.35103312,0.18762425,0.24215539,0.3178407,0.43115842,0.33739144,0.33485043,0.31687325,0.37814662,0.6021169,0.47896215,0.58202964,26.158990799214784,14.023877942383583,17.50275335501543,19.053895556181278,19.632035593092397,17.970351538054455,38.66424201358726,1593.0194267063089,1784.0133391190109,3226.9989483173076,0.07430889423076924,0.17548147,161.4990234375,blues
-88.02341,55.38083,150.99796,15.476259,-29.062712,19.796564,36.477337,8.41979,-17.882963,12.04978,26.736174,8.53267,-12.467896,9.095089,15.847001,7.5681705,-12.951346,8.538382,10.948146,6.5304327,-12.717252,6.141769,8.337904,8.289692,-10.306962,8.6926,-0.77799845,7.0281677,-9.803996,6.6045036,0.2633917,0.26073134,0.33175614,0.45222843,0.53537184,0.3850415,0.3403103,0.41903764,0.43426526,0.5323854,0.3707615,0.44916025,26.097564299077057,13.485931405418894,17.311353738028878,18.63615354893315,18.682011982634663,18.18005509459987,37.903632362086945,1441.000414097492,1700.3303005420837,2867.14599609375,0.06526442307692308,0.17693044,161.4990234375,blues
-84.7229,56.992916,145.08948,19.271431,-32.415356,17.494928,36.778206,10.162302,-18.719147,11.363312,27.204977,7.059676,-14.705687,9.52241,12.002729,7.5444536,-12.985918,8.771181,9.031216,7.936972,-16.784897,7.7935076,3.7932074,6.961879,-8.555327,7.9132547,-3.306951,7.8871174,-11.582589,5.6325455,0.31536672,0.1895467,0.2610961,0.36140954,0.40678883,0.30820894,0.29852507,0.2607282,0.3274107,0.43159008,0.50133497,0.6438059,27.022976939945483,14.925870462512622,17.065830471682244,18.54901751140623,19.68147317737246,18.72183349441804,38.58408231342873,1541.7736511459336,1728.5624129863452,3059.6197040264424,0.0767578125,0.1831227,161.4990234375,blues
