,precision,recall,f1-score,support
blues,0.9215686274509803,0.914396887159533,0.91796875,257.0
classical,0.9365671641791045,0.98046875,0.9580152671755725,256.0
country,0.8218623481781376,0.875,0.8475991649269311,232.0
disco,0.8704453441295547,0.8565737051792829,0.8634538152610441,251.0
hiphop,0.94921875,0.8804347826086957,0.9135338345864662,276.0
jazz,0.8785425101214575,0.9353448275862069,0.906054279749478,232.0
metal,0.9272030651340997,0.952755905511811,0.9398058252427185,254.0
pop,0.9182879377431906,0.921875,0.9200779727095516,256.0
reggae,0.8962655601659751,0.8816326530612245,0.8888888888888888,245.0
rock,0.8493150684931506,0.7782426778242678,0.8122270742358079,239.0
accuracy,0.8983186549239391,0.8983186549239391,0.8983186549239391,0.8983186549239391
macro avg,0.8969276375595652,0.8976725188931022,0.896762487277646,2498.0
weighted avg,0.8986097153737478,0.8983186549239391,0.8979305089806613,2498.0
