,precision,recall,f1-score,support
blues,0.5,0.5714285714285714,0.5333333333333333,14.0
classical,1.0,0.7777777777777778,0.875,18.0
country,0.3,0.375,0.3333333333333333,8.0
disco,0.625,0.45454545454545453,0.5263157894736842,11.0
hiphop,0.7142857142857143,0.5,0.5882352941176471,10.0
jazz,0.21428571428571427,0.42857142857142855,0.2857142857142857,7.0
metal,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
pop,0.9,0.75,0.8181818181818182,12.0
reggae,0.391304347826087,0.8181818181818182,0.5294117647058824,11.0
rock,0.8,0.25,0.38095238095238093,16.0
accuracy,0.608,0.608,0.608,0.608
macro avg,0.6333764665286404,0.5814393939393939,0.5759366888701255,125.0
weighted avg,0.6945776397515527,0.608,0.6183368742712396,125.0
